Name,"source"
"""Abeken, Heinrich""",239326
"""Istituto di Corrispondenza Archeologica """,239335
"""Abeken, Wilhelm""",239336
"""Unbekannt""",239398
"""Lepsius, Richard""",239408
"""Kestner, August""",239411
"""Abeken, Heinrich""",239413
"""Tessieri, Pietro""",239415
"""Mai, Angelo""",239416
"""Braun, Louise""",239417
"""Ackner, Johann Michael""",239420
"""Henzen, Wilhelm""",239422
"""Acerbi, Giuseppe""",239424
"""Bunsen, Carl von""",239427
"""Ainsley, Samuel James""",239430
"""Acquacotta, Placido""",239432
"""Brunn, Enrico""",239434
"""Aldini, Pier Vittorio""",239523
"""Bunsen, Christian Karl Josias""",239525
"""Ackner, Johann Michael""",239527
"""Alessi, Giuseppe""",239530
"""Adam, Frederick""",239532
"""Adilardi, Francesco""",239535
"""Albicini, Cesare""",239538
"""Aloe, Stanislas d'""",239540
"""Canina, Luigi""",239542
"""Bonaparte, Lucien""",239543
"""Bonaparte, Charles Lucian""",239550
"""Canina, Luigi""",239551
"""Brunn, Enrico""",239562
"""Kellermann, Olaus Christian""",239564
"""Lanci, Fortunato""",239566
"""Borghesi, Bartolomeo""",239567
"""Borrello""",239568
"""Bonucci, Carlo""",239569
"""Bonghi, Onofrio""",239570
"""Boeckh, August""",239571
"""Bianconi, Girolamo""",239572
"""Blacas D'Aulps, Pierre Louis de""",239573
"""Sainte-Aulaire, Louis Clair Beaupoil de""",239574
"""Arditi, Michele""",239575
"""Alcántara Téllez Girón y Alfonso Pimentel, Pedro de""",239576
"""Ammendola, P. S.""",239577
"""Böttiger, Karl August""",239578
"""Bunsen, Christian Karl Josias""",239579
"""Cades, Tommaso""",239658
"""Campanari, Secondiano""",239660
"""Roma, Giorgio Candiano di.""",239662
"""Capecelatro, Giuseppe""",239664
"""Capei, Pietro""",239666
"""Carelli, Francesco""",239668
"""Cavedoni, Celestino""",239670
"""Creuzer, Friedrich""",239672
"""de Chabert""",239673
"""Dragonetti, Luigi""",239675
"""Dureau de La Malle""",239677
"""Fauvel, Louis François Sébastien""",239678
"""Fča, Carlo""",239680
"""Feoli, Agostino""",239682
"""Furlanetto, Giuseppe""",239684
"""Goethe, Johann Wolfgang von""",239686
"""Ernst <Sachsen-Coburg-Gotha, Herzog, II.>""",239688
"""Graberg af Hemso, Jacob""",239690
"""Grifi, Luigi""",239692
"""Gropius, George""",239694
"""Hamilton, William""",239696
"""Hammer-Purgstall, Joseph""",239698
"""Harvey, George C.""",239700
"""Helbig, Wolfgang""",239702
"""Brockhaus, Heinrich""",239704
"""Inghirami, Francesco""",239706
"""Humboldt, Alexander von""",239708
"""Judica, Gabriele""",239710
"""Braun, Emil""",239713
"""Lajard, Felix""",239716
"""Labus, Giovanni""",239718
"""Kestner, August""",239720
"""Kölle, Christoph Friedrich Karl""",239722
"""Lenormant, Charles""",239724
"""Lebzeltern, Ludwig von""",239726
"""Maggiore, Niccolň""",239728
"""Luynes, Honoré Théodore Paul Joseph d'Albert de""",239730
"""Lopez, Michele""",239732
"""Peyron, Amedeo""",239734
"""Levezow, Konrad""",239736
"""Metternich, Klemens Wenzel Nepomuk Lothar von""",239738
"""Lützow, Rudolf von""",239740
"""Panofka, Theodor Sigismund""",239742
"""Nibby, A.""",239744
"""Müller, Karl Otfried""",239746
"""Manzi, Pietro""",239748
"""Malaspina di Sannazaro, Luigi""",239749
"""Rossetti, Domenico""",239751
"""Rosellini, Ippolito""",239753
"""Rochette, Raoul-""",239755
"""Quaranta, Bernardo""",239757
"""Witte, Jean Joseph Antoine Marie de""",239759
"""Westphal, Johann Heinrich""",239761
"""Welcker, Friedrich Gottlieb""",239763
"""Wallenberg""",239764
"""Visconti, P. E.""",239766
"""Trivulzio, Giovanni Giacomo""",239768
"""Tomassini""",239770
"""Strauss-Dürckheim""",239772
"""Stempliowski""",239773
"""Steinbüchel, Anton von""",239775
"""Sestini, Domenico""",239777
"""Schorn, Ludwig""",239779
"""Schiassi, Giuseppe Maffeo""",239781
"""Spaur, Karl von""",239783
"""Psyllas, Georgios""",239784
"""Prokesch von Osten, Anton""",239785
"""Pittakys, K. S.""",239786
"""Abeken, Wilhelm""",239788
"""Zannoni, Gio. Batista""",239790
"""Carosi, Giovanni""",239792
"""Bucci, Donato""",239794
"""Brandis, Julius""",239796
"""Gargallo-Grimaldi, Filippo""",239798
"""Depoletti""",239800
"""Braun, Leopold""",239802
"""Braun, Anne""",239805
"""Braun, Georg Christian""",239809
"""Gregorovius, Ferdinand""",239811
"""Bubeck, Wilhelm""",239815
"""Istituto di Corrispondenza Archeologica""",239817
"""Bucci, Costantino""",239820
"""Bucci, Donato""",239823
"""Freudenrich""",239824
"""Bucci, Giuseppe""",239826
"""Biondi, Luigi""",239827
"""Brassier de Saint-Simon Vallade, Joseph Maria Anton von""",239828
"""Cadčs, Alessandro""",239829
"""Thomson, Anne""",239830
"""Gerhard, Emilie""",239831
"""Gourieff, Nicolas""",239832
"""Purgold, Alfred""",239833
"""Ingram, Richard""",239834
"""Lanza, Francesco""",239835
"""Maler, Friedrich""",239836
"""Ritschl, Friedrich""",239837
"""Campanari, Domenico""",239838
"""Galleffi, Pietro Francesco""",239839
"""Franz, Johannes""",239840
"""Ruffo, Giuseppe Marchese de""",239841
"""Reuvens, Kaspar Jakob Christian""",239842
"""Burgess, Richard""",239844
"""Burgon, Thomas""",239848
"""Buttaoni, Domenico""",239850
"""Hinck, Hugo""",239851
"""Burckhardt, Jacob""",239852
"""Schmidt, Leopold""",239855
"""Kühtmann, J.""",239856
"""Mommsen, Theodor""",239857
"""Henzen, Wilhelm""",240783
"""Gerhard, Eduard""",240838
"""Braun, Emil""",243616
