origin_name,origin_lat,origin_lng,reception_label,reception_lat,reception_lng,letter_count
Rom,41.894739,12.4839,Berlin,52.5,13.416669,565
Rom,41.894739,12.4839,Paris,48.853409,2.3488,73
Rom,41.894739,12.4839,Perugia,43.1122,12.38878,61
Neapel,40.833329,14.25,Rom,41.894739,12.4839,49
Civitavecchia,42.093249,11.796739,Rom,41.894739,12.4839,40
Berlin,52.5,13.416669,Rom,41.894739,12.4839,31
London,51.50853,-0.12574,Rom,41.894739,12.4839,29
Rom,41.894739,12.4839,Rom,41.894739,12.4839,25
Paris,48.853409,2.3488,Rom,41.894739,12.4839,18
Rom,41.894739,12.4839,Bonn,50.734166,7.095277,18
Stuttgart,48.782222,9.176944,Rom,41.894739,12.4839,14
Florenz,43.766669,11.25,Rom,41.894739,12.4839,13
Rom,41.894739,12.4839,Florenz,43.766669,11.25,13
Kiel,54.321111,10.134722,Leipzig,51.339444,12.371111,12
Berlin,52.5,13.416669,Paris,48.853409,2.3488,11
Berlin,52.5,13.416669,Berlin,52.5,13.416669,11
Rom,41.894739,12.4839,Neapel,40.833329,14.25,11
London,51.50853,-0.12574,Berlin,52.5,13.416669,10
Perugia,43.1122,12.38878,Rom,41.894739,12.4839,10
München,48.137222,11.575277,Rom,41.894739,12.4839,9
Rom,41.894739,12.4839,Breslau,51.1,17.033329,9
Paris,48.853409,2.3488,Berlin,52.5,13.416669,9
Kiel,54.321111,10.134722,Bonn,50.734166,7.095277,8
München,48.137222,11.575277,Berlin,52.5,13.416669,8
Berlin,52.5,13.416669,Kiel,54.321111,10.134722,7
Heidelberg,49.407679,8.690789,Berlin,52.5,13.416669,7
Göttingen,51.539329,9.93406,Berlin,52.5,13.416669,7
Berlin,52.5,13.416669,Breslau,51.1,17.033329,7
Florenz,43.766669,11.25,Berlin,52.5,13.416669,6
Rom,41.894739,12.4839,Greifswald,54.09311,13.387859,6
Paris,48.853409,2.3488,München,48.137222,11.575277,6
Rom,41.894739,12.4839,München,48.137222,11.575277,6
Gotha,50.948055,10.701666,Rom,41.894739,12.4839,5
Dresden,51.05089,13.738319,Rom,41.894739,12.4839,5
Naumburg (Saale),51.149722,11.809722,Berlin,52.5,13.416669,5
Rom,41.894739,12.4839,Mailand,45.464269,9.18951,5
