id	authId	authSource	name
GND-118583425	118583425	GND	Mommsen, Theodor
GND-116402326	116402326	GND	Brandis, Christian August
GND-118613154	118613154	GND	Semper, Gottfried
GND-118678809	118678809	GND	Dannecker, Johann Heinrich von
GND-117425478	117425478	GND	Troyon, Frédéric
GND-117554677	117554677	GND	Meier, Moritz Hermann Eduard
GND-1055228624	1055228624	GND	Blacas D'Aulps, Pierre Louis de
KPE-920187	920187	KPE	Eikerling, Heinrich
GND-116633964	116633964	GND	Kyllmann, Otto
GND-118656317	118656317	GND	Bernays, Jacob
GND-119059142	119059142	GND	Waitz, Georg
GND-1183620608	1183620608	GND	Bargigli, Angiolo
GND-117743135	117743135	GND	Schelle, Karl Eduard
GND-116282290	116282290	GND	Preller, Ludwig
GND-118579347	118579347	GND	Maximilian <II., Bayern, König>
GND-118931504	118931504	GND	Kekulé von Stradonitz, Reinhard
GND-11727335X	11727335X	GND	Ternite, Wilhelm
GND-119016079	119016079	GND	Campana, Giampietro
GND-116730161	116730161	GND	Hercher, Rudolf
GND-10215807X	10215807X	GND	Nipperdey, Carl
GND-116922850	116922850	GND	Schorn, Ludwig
GND-101110464	101110464	GND	Michaelis, Adolf
GND-116647361	116647361	GND	Flemming, Johann Friedrich August von
GND-100384773	100384773	GND	Palma, Niccola
GND-118760653	118760653	GND	Seidler, Louise Caroline Sophie
GND-130123552	130123552	GND	Brockhaus, Friedrich
GND-118504118	118504118	GND	Arndt, Ernst Moritz
GND-116574801	116574801	GND	Kruse, Friedrich
KPE-302684	302684	KPE	Steinacker, E. F.
GND-128972920	128972920	GND	Unbekannt
GND-118627198	118627198	GND	Virchow, Rudolf
GND-117098132	117098132	GND	Oehler, Theodor
GND-117437174	117437174	GND	Visconti, Pietro Ercole
GND-11862783X	11862783X	GND	Vom Stein Zum Altenstein, Karl
GND-104222654	104222654	GND	Serradifalco, Domenico LoFaso Pietrasanta di
KPE-325898	325898	KPE	Stürenburg
GND-117356360	117356360	GND	Thudichum, Georg
GND-1055090169	1055090169	GND	Lloyd, William Watkiss
GND-1171822030	1171822030	GND	D´Andrea, Giovanni
GND-117395684	117395684	GND	Vesque von Püttlingen, Johann
GND-1157542522	1157542522	GND	Capialbi, Antonio
GND-119066807	119066807	GND	Sestini, Domenico
GND-118677330	118677330	GND	Creuzer, Friedrich
GND-1038385660	1038385660	GND	Biardot, E. Prosper
GND-119054043	119054043	GND	Schmidt von der Launitz, Eduard
GND-116298456	116298456	GND	Bourges, Maurice Jean
GND-11946571X	11946571X	GND	Camera, Matteo
GND-118538918	118538918	GND	Gervinus, Georg Gottfried
GND-116661674	116661674	GND	Forchhammer, Peter Wilhelm
GND-118526170	118526170	GND	Dodwell, Edward
GND-117182486	117182486	GND	Jordan, Heinrich
GND-116472987	116472987	GND	Ferrucci, Luigi Crisostomo
GND-116947756	116947756	GND	Lersch, Laurenz
GND-116550880	116550880	GND	Ringseis, Emilie
GND-1187791962	1187791962	GND	Michaelis, Ida
GND-118808850	118808850	GND	Böckh, August
