id,gnd_id,label,lat,lng
873895,4106466-5,Syrakus,37.085149,15.272999
873896,-1,,null,null
873897,4005728-8,Berlin,52.5,13.416669
873898,4007666-0,Bonn,50.734166,7.095277
873899,4074335-4,London,51.50853,-0.12574
873900,4041476-0,Neapel,40.833329,14.25
873901,1024971945,Ohne Ort,null,null
873902,4050471-2,Rom,41.894739,12.4839
873903,-1,Rom [Piazza della rotonda],null,null
873904,4008216-7,Breslau,51.1,17.033329
873905,-1,Posen,null,null
873906,4028557-1,Jena,50.92878,11.5899
873907,4017581-9,Florenz,43.766669,11.25
873908,4127793-4,München,48.137222,11.575277
873909,-1,Bologna,null,null
873910,4063110-2,Verona,45.43419,10.99779
873911,4037100-1,Mailand,45.464269,9.18951
873912,4078411-3,Triest,45.648609,13.779999
873913,4023996-2,Heidelberg,49.407679,8.690789
873914,4023025-9,Halle (Saale),51.5,12.0
873915,4058282-6,Stuttgart,48.782222,9.176944
873916,4037372-1,Mannheim,49.496666,8.479444
873917,4062501-1,Venedig,45.438609,12.32667
873918,4045314-5,Perugia,43.1122,12.38878
873919,4037694-1,Marseille,43.29695,5.38107
873920,4044660-8,Paris,48.853409,2.3488
873921,4005762-8,Bern,46.948055,7.447222
873922,4115867-2,Patras,38.244439,21.734439
873923,4003366-1,Athen,37.979449,23.716219
873924,4073728-7,Korfu,null,null
873925,-1,Livorno,null,null
873926,4065105-8,Weimar,50.980299,11.329029
873927,-1,Liverpool,null,null
873928,-1,Frankfurt,null,null
873929,4020137-5,Genf,46.202222,6.145555
873930,4066009-6,Wien,48.208199,16.37169
873931,4018118-2,Frankfurt am Main,50.115277,8.684166
873932,-1,Wildbad bei Stuttgart,null,null
873933,4029869-3,Kassel,51.316666,9.5
873934,-1,Berlin.,null,null
873935,-1,Bad Elster bei Plauen,null,null
873936,-1,Cassel,null,null
873937,-1,Cassel(Kassel),null,null
873938,4007760-3,Borkum,null,null
873939,-1,Ferrara,null,null
873940,4074118-7,Leiden,52.158329,4.493059
873941,4021965-3,Greifswald,54.09311,13.387859
873942,-1,Rom.,null,null
873943,4032399-7,Kopenhagen,55.675939,12.56553
873944,-1,Frascati,null,null
873945,4023349-2,Hannover,52.370277,9.733055
873946,4068038-1,Zürich,47.366666,8.55
873947,4065382-1,Charlottenburg <Berlin>,52.51113,13.30161
873948,4061245-4,Turin,45.070489,7.68682
873949,4044402-8,Palermo,38.115819,13.359759
873950,4012995-0,Dresden,51.05089,13.738319
873951,4021477-1,Göttingen,51.539329,9.93406
873952,4061147-4,Tübingen,48.52266,9.05222
873953,4030481-4,Kiel,54.321111,10.134722
873954,4035206-7,Leipzig,51.339444,12.371111
873955,4074255-6,Linz,48.30639,14.28611
873956,4055193-3,Sizilien,null,null
873957,4053783-3,Schwarzenbek,53.50303,10.480549
873958,4037446-4,Marburg,50.808888,8.770555
873959,7523530-4,Popoli,42.16993,13.8308
873960,4043474-6,Bad Oldesloe,53.811669,10.374169
873961,4085849-2,Anzio,41.44749,12.627069
873962,-1,Rocca di Papa,null,null
873963,-1,Bremen,null,null
873964,4029713-5,Karlsruhe,49.004719,8.38583
873965,-1,Albano,null,null
873966,4115170-7,Modena,44.647829,10.92539
873967,4036733-2,Luzern,47.50277,8.306111
873968,4007202-2,Bludenz,47.15476,9.822549
873969,4042887-4,Oberbozen,null,null
873970,4038688-0,Meran,46.668055,11.159444
873971,4257547-3,Klobenstein,null,null
873972,4007901-6,Bozen,46.490555,11.339722
873973,4239185-4,Gossensaß,null,null
873974,4027096-8,Innsbruck,47.2625,11.394444
873975,4021652-4,Gotha,50.948055,10.701666
873976,4037124-4,Mainz,49.984166,8.278888
873977,4004617-5,Basel,47.549999,7.58333
873978,4085283-0,Civitavecchia,42.093249,11.796739
873979,-1,Monte Caprino (Rom),null,null
873980,4044295-0,Padua,45.41519,11.881809
873981,-1,San Marino,null,null
873982,4008460-7,Brüssel,50.850277,4.348611
873983,4008065-1,Braunschweig,52.26594,10.52673
873984,4003614-5,Augsburg,48.371388,10.898333
873985,4029705-6,Karlsbad,50.232709,12.871169
873986,4288101-8,Rottach,null,null
873987,16330193-1,Orleans,null,null
873988,4057878-1,Straßburg,48.583888,7.745277
873989,4031483-2,Köln,50.933333,6.95
873990,4041445-0,Naumburg (Saale),51.149722,11.809722
873991,17609-6,Bromberg,53.123333,18.0075
873992,4042339-6,Nil,null,null
873993,4118832-9,Stolberg/Harz,51.574166,10.955555
873994,-1,"Rom, Villa Spada",null,null
873995,4043974-4,Osnabrück,52.27264,8.049799
873996,4040573-4,Landkreis München,null,null
873997,-1,"Rom, Pontificia Accademia di Archeologia",null,null
873998,4085388-3,Dampierre,null,null
873999,-1,"Rom, Siena",null,null
874000,-1,Pistoia,null,null
874001,4046948-7,Potsdam,52.398859,13.065659
874002,4086480-7,Fiesole,43.80485,11.294119
874003,-1,Pisa,null,null
874004,-1,Rom (Ripetta 246),null,null
874005,4015240-6,Erfurt,50.978611,11.032777
874006,4000003-5,Aachen,50.776388,6.083333
874007,4105777-6,Tarquinia,42.25419,11.75657
874008,4015299-6,Erlangen,49.590989,11.00783
874009,4796136-3,Canino,42.464019,11.75115
874010,-1,Pesaro,null,null
874011,4046755-7,Pompeji,null,null
874012,4011077-1,Darmstadt,49.870559,8.64944
874013,4002364-3,Antwerpen,51.219889,4.403459
874014,4036483-5,Lübeck,53.868929,10.68729
874015,4031541-1,Königsberg,54.70649,20.51095
874016,4066832-0,Wolfenbüttel,52.164419,10.54095
874017,4018272-1,Freiburg im Breisgau,47.995833,7.852222
874018,4075511-3,Nowgorod,58.516669,31.283329
874019,4061447-5,Uelzen,52.965719,10.561109
874020,4078659-6,Uppsala,59.858499,17.64543
874021,4034340-6,Landsberg (Warthe),52.736666,15.228611
874022,4230395-3,Parchim,53.42631,11.84875
874023,4036934-1,Magdeburg,52.1275,11.629166
874024,4024351-5,Helsinki,60.169519,24.935449
874025,4229603-1,Chatham <Kent>,null,null
874026,4074987-3,Moskau,55.752222,37.615555
874027,4009107-7,Burg auf Fehmarn,53.997079,9.25891
874028,1029285-8,Tartu,58.38062,26.72509
874029,4048035-5,Quedlinburg,51.788429,11.150059
874030,4071914-5,Bad Godesberg,50.68457,7.153929
874031,4052689-6,Schleswig <Stadt>,54.521388,9.558333
