id	authId	authSource	name
GND-118860283	118860283	GND	Schulze, Johannes
GND-119195836	119195836	GND	Roth, Rudolf von
GND-116039272	116039272	GND	Baggs, Charles Michael
GND-1055315233	1055315233	GND	Cataldi, Nicola M.
GND-10079064X	10079064X	GND	Inghirami, Francesco
GND-116630159	116630159	GND	Ross, Karl
GND-117617989	117617989	GND	Bolzenthal, Heinrich Eduard
GND-116402326	116402326	GND	Brandis, Christian August
GND-118594117	118594117	GND	Wagner, Richard
GND-117109827	117109827	GND	Scharnhorst, Wilhelm von
GND-116896132	116896132	GND	Hinck, Hugo
GND-117077070	117077070	GND	Wachsmuth, Curt
KPE-118795	118795	KPE	Universität Bonn -1818-
GND-117123323	117123323	GND	Olshausen, Justus
GND-119520397	119520397	GND	Bonci Casuccini, Pietro
GND-116850388	116850388	GND	Lebzeltern, Ludwig von
GND-117037486	117037486	GND	Hübner, Emil
GND-117191388	117191388	GND	Overbeck, Johannes
GND-118538918	118538918	GND	Gervinus, Georg Gottfried
GND-101758278	101758278	GND	Trendelenburg, Ferdinande
GND-11759542X	11759542X	GND	La Rochejaquelein, Henri-Auguste-Georges du Verger de
GND-1139664263	1139664263	GND	Bortolotti, Pietro
GND-118638033	118638033	GND	Elgin and Kincardine, Thomas Bruce of
GND-118889230	118889230	GND	Döderlein, Ludwig
GND-117048879	117048879	GND	Hülsen, Christian
KPE-915959	915959	KPE	Carfora, Lelio
GND-104125489	104125489	GND	Quandt, Johann Gottlob von
GND-116650117	116650117	GND	Conestabile, Giovanni Carlo
GND-118554700	118554700	GND	Humboldt, Alexander von
GND-100158218	100158218	GND	Hand, Ferdinand Gotthelf
GND-117400246	117400246	GND	Tischbein, Carl Wilhelm
GND-116231327	116231327	GND	Klöber, August von
GND-11756673X	11756673X	GND	Bartlett, John Russell
GND-116766557	116766557	GND	Curtius, Ernst
GND-116909501	116909501	GND	Lenormant, François
GND-1076744591	1076744591	GND	Trivulzio, Giovanni Giacomo
GND-35017-5	35017-5	GND	Académie des Inscriptions et Belles-Lettres <Paris>
GND-116113669	116113669	GND	Dietrichstein, Moritz von
GND-118594885	118594885	GND	Platner, Ernst
KPE-196165	196165	KPE	Lapasse
GND-117039144	117039144	GND	Jacobs, Friedrich
GND-119162091	119162091	GND	Fiorelli, Giuseppe
GND-118579347	118579347	GND	Maximilian <II., Bayern, König>
GND-118611666	118611666	GND	Schumann, Robert
GND-118725815	118725815	GND	Lachner, Franz Paul
GND-118605909	118605909	GND	Savigny, Friedrich Carl von
GND-116829540	116829540	GND	Schneider, Karl Ernst Christoph
GND-118704281	118704281	GND	Hettner, Hermann
GND-118776223	118776223	GND	Joachim, Joseph
GND-116525215	116525215	GND	Clarac, Charles Othon Frédéric Jean Baptiste de
GND-116450932	116450932	GND	Reumont, Alfred von
GND-116121157	116121157	GND	Benndorf, Otto
