id	name	authId	authSource	lat	lng
GAZ-2289310	Aachen	2289310	GAZ	50.77664	6.08342
DE-611-26332	Al-Q¯ahirah	26332	DE-611	null	null
GAZ-2359903	Albano Laziale	2359903	GAZ	41.729998	12.658954
GAZ-2042806	Alexandria	2042806	GAZ	31.21564	29.95527
GAZ-2278958	Altona	2278958	GAZ	53.578802	9.875866
GAZ-2086597	Anagni	2086597	GAZ	41.7435	13.15542
GAZ-2345149	Ancona	2345149	GAZ	43.617132	13.517861
GAZ-2075777	Antwerpen	2075777	GAZ	51.21989	4.40346
GAZ-2180623	Anzio	2180623	GAZ	41.451029	12.62078
GND-4780118-9	Aquila <Tessin>	4780118-9	GND	null	null
GAZ-2277103	Arezzo	2277103	GAZ	43.466201	11.882229
GAZ-2072670	Ariccia	2072670	GAZ	41.720575	12.673073
DE-611-25676	Ascoli Piceno	25676	DE-611	null	null
GAZ-2070134	Athen	2070134	GAZ	37.97945	23.71622
GAZ-2046813	Augsburg	2046813	GAZ	48.369188	10.898145
GAZ-2052026	Bad Ems	2052026	GAZ	50.333608	7.71347
GND-4071914-5	Bad Godesberg	4071914-5	GND	50.68457	7.153929
GAZ-2050560	Bad Harzburg	2050560	GAZ	51.87999	10.560159
GND-4031606-3	Bad Kösen	4031606-3	GND	51.134166	11.721944
GND-4102484-9	Bad Neuenahr	4102484-9	GND	50.54484	7.13386
GND-4043474-6	Bad Oldesloe	4043474-6	GND	53.811669	10.374169
GND-4049111-0	Bad Reichenhall	4049111-0	GND	47.729469	12.87819
GND-4603131-5	Bad Rippoldsau	4603131-5	GND	48.435519	8.31752
GND-4066095-3	Bad Wildbad	4066095-3	GND	48.750555	8.550277
GND-4069065-9	Baden	4069065-9	GND	null	null
GND-4245272-7	Bagni di Lucca	4245272-7	GND	44.00865	10.5785
GND-4004617-5	Basel	4004617-5	GND	47.549999	7.58333
GAZ-2046918	Berchtesgaden	2046918	GAZ	47.63236	13.00186
GAZ-2048564	Berlin	2048564	GAZ	52.520007	13.404954
GND-4005762-8	Bern	4005762-8	GND	46.948055	7.447222
GND-4468196-3	Blankenberge	4468196-3	GND	51.31306	3.13227
GAZ-2063131	Bludenz	2063131	GAZ	47.15556	9.820704
GND-4007616-7	Bologna	4007616-7	GND	44.493888	11.338888
GAZ-2051380	Bonn	2051380	GAZ	50.737069	7.09651
GND-4007760-3	Borkum	4007760-3	GND	53.581111	6.691111
GAZ-2347812	Bozen	2347812	GAZ	46.49067	11.33982
GAZ-2051607	Brakel	2051607	GAZ	51.716436	9.18463
GAZ-2048409	Brandenburg	2048409	GAZ	52.33333	13.2
GAZ-2050425	Braunschweig	2050425	GAZ	52.264463	10.523318
GAZ-2050427	Bremen	2050427	GAZ	53.08333	8.83333
GND-1167016998	Brennerbad	1167016998	GND	46.976666	11.480833
DE-611-25772	Brescia	25772	DE-611	null	null
GAZ-2108264	Breslau	2108264	GAZ	51.1	17.03333
GND-2002823-4	Bressanone	2002823-4	GND	null	null
GND-4008266-0	Brighton	4008266-0	GND	50.82838	-0.13947
GND-17609-6	Bromberg	17609-6	GND	53.123333	18.0075
GAZ-2087724	Brüssel	2087724	GAZ	50.85045	4.34878
GAZ-2323304	Buonconvento	2323304	GAZ	43.13314	11.48363
GND-4009107-7	Burg auf Fehmarn	4009107-7	GND	53.997079	9.25891
GAZ-2049558	Büdingen	2049558	GAZ	50.286291	9.110113
GAZ-2338739	Cagliari	2338739	GAZ	39.223646	9.125583
GND-7845961-8	Caldwell, Idaho	7845961-8	GND	null	null
