id	name	authId	authSource	lat	lng
GAZ-2289310	Aachen	2289310	GAZ	50.77664	6.08342
DE-611-27339	Adria	27339	DE-611	null	null
DE-611-27345	Agnone	27345	DE-611	null	null
DE-611-26332	Al-Q¯ahirah	26332	DE-611	null	null
GAZ-2359903	Albano Laziale	2359903	GAZ	41.729998	12.658954
GAZ-4079681-4	Albano Laziale	4079681-4	GAZ	41.729998	12.658954
GAZ-2042806	Alexandria	2042806	GAZ	31.21564	29.95527
DE-611-11267	Alger	11267	DE-611	null	null
DE-611-3872	Altenburg	3872	DE-611	null	null
GAZ-2278958	Altona	2278958	GAZ	53.578802	9.875866
GAZ-2086547	Amalfi	2086547	GAZ	40.6349	14.60238
GND-7551178-2	Amarousion	7551178-2	GND	null	null
DE-611-27394	Amelia	27394	DE-611	null	null
DE-611-27228	Amiens	27228	DE-611	null	null
GAZ-2086597	Anagni	2086597	GAZ	41.7435	13.15542
GAZ-2345149	Ancona	2345149	GAZ	43.617132	13.517861
GAZ-2102269	Andritsena	2102269	GAZ	37.48376	21.90532
GAZ-2075777	Antwerpen	2075777	GAZ	51.21989	4.40346
GAZ-2180623	Anzio	2180623	GAZ	41.451029	12.62078
GAZ-2277103	Arezzo	2277103	GAZ	43.466201	11.882229
GAZ-2072670	Ariccia	2072670	GAZ	41.720575	12.673073
DE-611-27429	Arles	27429	DE-611	null	null
DE-611-25676	Ascoli Piceno	25676	DE-611	null	null
GND-7612472-1	Assisi-Petrignano	7612472-1	GND	null	null
GAZ-2070134	Athen	2070134	GAZ	37.97945	23.71622
GAZ-2046813	Augsburg	2046813	GAZ	48.369188	10.898145
DE-611-27474	Avellino	27474	DE-611	null	null
GAZ-4014511-6	Bad Elster	4014511-6	GAZ	50.281944	12.234722
GAZ-2052026	Bad Ems	2052026	GAZ	50.333608	7.71347
DE-611-941	Bad Gastein	941	DE-611	null	null
GND-4071914-5	Bad Godesberg	4071914-5	GND	50.68457	7.153929
GAZ-2050560	Bad Harzburg	2050560	GAZ	51.87999	10.560159
GAZ-2765490	Bad Kösen	2765490	GAZ	51.135278	11.720556
GND-4102484-9	Bad Neuenahr	4102484-9	GND	50.54484	7.13386
GAZ-2052938	Bad Oldesloe	2052938	GAZ	53.81167	10.37417
GND-4049111-0	Bad Reichenhall	4049111-0	GND	47.729469	12.87819
GND-4603131-5	Bad Rippoldsau	4603131-5	GND	48.435519	8.31752
GAZ-2749100	Bad Wildbad	2749100	GAZ	48.75071	8.5504
GAZ-4066095-3	Bad Wildbad	4066095-3	GAZ	48.75071	8.5504
GND-4069065-9	Baden	4069065-9	GND	null	null
DE-611-30075	Baden (Niederösterreich)	30075	DE-611	null	null
DE-611-18662	Badgastein	18662	DE-611	null	null
DE-611-18159	Badia di Fiesole	18159	DE-611	null	null
GAZ-2749109	Bagni di Lucca	2749109	GAZ	44.00513	10.5531
GAZ-2072824	Bagnoregio	2072824	GAZ	42.628257	12.090385
DE-611-26868	Bari	26868	DE-611	null	null
GAZ-2057873	Basel	2057873	GAZ	47.5584	7.57327
DE-611-27572	Bayr¯ut	27572	DE-611	null	null
GAZ-2078337	Beaune	2078337	GAZ	47.024167	4.838889
GAZ-2046918	Berchtesgaden	2046918	GAZ	47.63236	13.00186
GAZ-2282601	Berlin	2282601	GAZ	52.52437	13.41053
GND-4087306-7	Berlin-Charlottenburg	4087306-7	GND	52.511111	13.301388
GAZ-2087441	Bern	2087441	GAZ	46.94809	7.44744
GND-4428403-2	Bettona	4428403-2	GND	43.012639	12.485459
